handle,name,url,httpStatus,shopifyStatus,bioLen,viewpointEmpty,viewpointParseError,masterworksEmpty,imagePresent,imagePermission,deathYear
aizu-yaichi,"会津 八一",https://atspect.com/pages/artist/aizu-yaichi,200,ACTIVE,133,false,false,false,false,未取得,"1956"
kawamura-kizan,"川村 驥山",https://atspect.com/pages/artist/kawamura-kizan,200,ACTIVE,118,false,false,false,false,未取得,"1969"
osawa-gakyu,"大澤 雅休",https://atspect.com/pages/artist/osawa-gakyu,200,ACTIVE,113,false,false,false,false,未取得,"1953"
uno-setsuson,"宇野 雪村",https://atspect.com/pages/artist/uno-setsuson,200,ACTIVE,136,false,false,false,false,未取得,"1995"
sumiyama-nanboku,"炭山 南木",https://atspect.com/pages/artist/sumiyama-nanboku,200,ACTIVE,101,false,false,false,false,未取得,"1979"
tonomura-randen,"殿村 藍田",https://atspect.com/pages/artist/tonomura-randen,200,ACTIVE,120,false,false,false,false,未取得,"2000"
murakami-santo,"村上 三島",https://atspect.com/pages/artist/murakami-santo,200,ACTIVE,135,false,false,false,false,未取得,"2005"
kosaka-kiseki,"小坂 奇石",https://atspect.com/pages/artist/kosaka-kiseki,200,ACTIVE,120,false,false,false,false,未取得,"1991"
hirotsu-unsen,"廣津 雲仙",https://atspect.com/pages/artist/hirotsu-unsen,200,ACTIVE,113,false,false,false,false,未取得,"1989"
kobayashi-toan,"小林 斗盦",https://atspect.com/pages/artist/kobayashi-toan,200,ACTIVE,147,false,false,false,false,未取得,"2007"
sugioka-kason,"杉岡 華邨",https://atspect.com/pages/artist/sugioka-kason,200,ACTIVE,129,false,false,false,false,未取得,"2012"
onoe-saishu,"尾上 柴舟",https://atspect.com/pages/artist/onoe-saishu,200,ACTIVE,121,false,false,false,false,未取得,"1957"
ono-gado,"小野 鵞堂",https://atspect.com/pages/artist/ono-gado,200,ACTIVE,130,false,false,false,false,未取得,"1922"
iijima-shunkei,"飯島 春敬",https://atspect.com/pages/artist/iijima-shunkei,200,ACTIVE,137,false,false,false,false,未取得,"1996"
kumagai-tsuneko,"熊谷 恒子",https://atspect.com/pages/artist/kumagai-tsuneko,200,ACTIVE,126,false,false,false,false,未取得,"1986"
kuwata-sasafune,"桑田 笹舟",https://atspect.com/pages/artist/kuwata-sasafune,200,ACTIVE,115,false,false,false,false,未取得,"1989"
tanaka-kaido,"田中 塊堂",https://atspect.com/pages/artist/tanaka-kaido,200,ACTIVE,121,false,false,false,false,未取得,"1976"
nakabayashi-gochiku,"中林 梧竹",https://atspect.com/pages/artist/nakabayashi-gochiku,200,ACTIVE,130,false,false,false,false,未取得,"1913"
kusakabe-meikaku,"日下部 鳴鶴",https://atspect.com/pages/artist/kusakabe-meikaku,200,ACTIVE,142,false,false,false,false,未取得,"1922"
soejima-taneomi,"副島 種臣",https://atspect.com/pages/artist/soejima-taneomi,200,ACTIVE,135,false,false,false,false,未取得,"1905"
yamaoka-tesshu,"山岡 鉄舟",https://atspect.com/pages/artist/yamaoka-tesshu,200,ACTIVE,142,false,false,false,false,未取得,"1888"
kitaoji-rosanjin,"北大路 魯山人",https://atspect.com/pages/artist/kitaoji-rosanjin,200,ACTIVE,148,false,false,false,false,未取得,"1959"
kamijo-shinzan,"上條 信山",https://atspect.com/pages/artist/kamijo-shinzan,200,ACTIVE,124,false,false,false,false,未取得,"1997"
sakaki-bakuzan,"榊 莫山",https://atspect.com/pages/artist/sakaki-bakuzan,200,ACTIVE,132,false,false,false,false,未取得,"2010"
imai-ryosetsu,"今井 凌雪",https://atspect.com/pages/artist/imai-ryosetsu,200,ACTIVE,128,false,false,false,false,未取得,"2011"
inoue-yuichi,"井上 有一",https://atspect.com/pages/artist/inoue-yuichi,200,ACTIVE,136,false,false,false,false,未取得,"1985"
takamura-koun,"高村 光雲",https://atspect.com/pages/artist/takamura-koun,200,ACTIVE,204,false,false,false,false,未取得,"1934"
takamura-kotaro,"高村 光太郎",https://atspect.com/pages/artist/takamura-kotaro,200,ACTIVE,172,false,false,false,false,未取得,"1956"
ogiwara-morie,"荻原 守衛",https://atspect.com/pages/artist/ogiwara-morie,200,ACTIVE,191,false,false,false,false,未取得,"1910"
asakura-fumio,"朝倉 文夫",https://atspect.com/pages/artist/asakura-fumio,200,ACTIVE,225,false,false,false,false,未取得,"1964"
kitamura-seibo,"北村 西望",https://atspect.com/pages/artist/kitamura-seibo,200,ACTIVE,187,false,false,false,false,未取得,"1987"
hirakushi-denchu,"平櫛 田中",https://atspect.com/pages/artist/hirakushi-denchu,200,ACTIVE,192,false,false,false,false,未取得,"1979"
sato-gengyo,"佐藤 玄々",https://atspect.com/pages/artist/sato-gengyo,200,ACTIVE,178,false,false,false,false,未取得,"1963"
hashimoto-heihachi,"橋本 平八",https://atspect.com/pages/artist/hashimoto-heihachi,200,ACTIVE,200,false,false,false,false,未取得,"1935"
nakahara-teijiro,"中原 悌二郎",https://atspect.com/pages/artist/nakahara-teijiro,200,ACTIVE,183,false,false,false,false,未取得,"1921"
tobari-kogan,"戸張 孤雁",https://atspect.com/pages/artist/tobari-kogan,200,ACTIVE,164,false,false,false,false,未取得,"1927"
ishii-tsuruzo,"石井 鶴三",https://atspect.com/pages/artist/ishii-tsuruzo,200,ACTIVE,155,false,false,false,false,未取得,"1973"
